deutsch,latein,familie,bild_url,correct_count
Zinnie,Zinnia elegans,Asteraceae,bilder/P1850501_r.jpg,0
Roter Sonnenhut,Echinacea purpurea,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/echinaecea-purpurea-magnus-purpursonnenhut-1477260-blp-msg.jpg,0
Gewöhnliche Schafgarbe,Achillea millefolium,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/Achillea-millefolium-1536x1536.jpg,0
Durchwachsenes Hasenohr,Bupleurum rotundifolium,Apiaceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/rundblaettriges_hasenohr.jpg,0
Sommeraster,Callistephus chinensis,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/b115_shop_1752005759_1.jpg,0
Färberdistel,Carthamus tinctorius,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/faerberdistel.jpg,0
Schmuckkörbchen,Cosmos bipinnatus,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/kosmeen-aufmacher-4060961-blp-shutterstock.jpg,0
Gartendahlie,Dahlia cultivars,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/images.jpeg,0
Gladiole,Gladiolus cultivars,Iridaceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/gladiolus-rainbow-mix-vis-1.jpg,0
Falsche Kamille / Mutterkraut,Tanacetum parthenium,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/240_F_445882290_TbfNYfLC4wTpGLymoaYlfkcNI96tsbIX.jpg,0
Sonnenblume,Helianthus annus,Asteraceae,https://raw.githubusercontent.com/DST81/blumen_app/main/bilder/2017-12-04-07-01-11.jpg,0
